Tgl. Mohon,count,cumulative_sum
2021-02-15,1,1
2021-02-22,0,1
2021-03-01,0,1
2021-03-08,0,1
2021-03-15,0,1
2021-03-22,0,1
2021-03-29,0,1
2021-04-05,0,1
2021-04-12,0,1
2021-04-19,0,1
2021-04-26,1,2
2021-05-03,0,2
2021-05-10,1,3
2021-05-17,0,3
2021-05-24,0,3
2021-05-31,0,3
2021-06-07,0,3
2021-06-14,1,4
2021-06-21,0,4
2021-06-28,1,5
2021-07-05,0,5
2021-07-12,0,5
2021-07-19,0,5
2021-07-26,0,5
2021-08-02,1,6
2021-08-09,0,6
2021-08-16,0,6
2021-08-23,0,6
2021-08-30,0,6
2021-09-06,1,7
2021-09-13,1,8
2021-09-20,1,9
2021-09-27,0,9
2021-10-04,0,9
2021-10-11,0,9
2021-10-18,0,9
2021-10-25,0,9
2021-11-01,0,9
2021-11-08,0,9
2021-11-15,0,9
2021-11-22,0,9
2021-11-29,0,9
2021-12-06,0,9
2021-12-13,1,10
2021-12-20,1,11
2021-12-27,0,11
2022-01-03,0,11
2022-01-10,2,13
2022-01-17,2,15
2022-01-24,3,18
2022-01-31,1,19
2022-02-07,0,19
2022-02-14,0,19
2022-02-21,1,20
2022-02-28,1,21
2022-03-07,1,22
2022-03-14,2,24
2022-03-21,0,24
2022-03-28,1,25
2022-04-04,1,26
2022-04-11,1,27
2022-04-18,0,27
2022-04-25,0,27
2022-05-02,0,27
2022-05-09,1,28
2022-05-16,1,29
2022-05-23,0,29
2022-05-30,0,29
2022-06-06,1,30
2022-06-13,0,30
2022-06-20,0,30
2022-06-27,3,33
2022-07-04,1,34
2022-07-11,0,34
2022-07-18,0,34
2022-07-25,0,34
2022-08-01,1,35
2022-08-08,1,36
2022-08-15,1,37
2022-08-22,0,37
2022-08-29,0,37
2022-09-05,0,37
2022-09-12,0,37
2022-09-19,0,37
2022-09-26,2,39
2022-10-03,1,40
2022-10-10,1,41
2022-10-17,2,43
2022-10-24,0,43
2022-10-31,0,43
2022-11-07,1,44
2022-11-14,0,44
2022-11-21,0,44
2022-11-28,0,44
2022-12-05,0,44
2022-12-12,0,44
2022-12-19,0,44
2022-12-26,1,45
2023-01-02,0,45
2023-01-09,1,46
2023-01-16,2,48
2023-01-23,1,49
2023-01-30,0,49
2023-02-06,1,50
2023-02-13,1,51
2023-02-20,1,52
2023-02-27,0,52
2023-03-06,0,52
2023-03-13,2,54
2023-03-20,0,54
2023-03-27,2,56
2023-04-03,1,57
2023-04-10,0,57
2023-04-17,1,58
2023-04-24,1,59
2023-05-01,0,59
2023-05-08,0,59
2023-05-15,2,61
2023-05-22,1,62
2023-05-29,2,64
2023-06-05,0,64
2023-06-12,0,64
2023-06-19,1,65
2023-06-26,0,65
2023-07-03,1,66
2023-07-10,0,66
2023-07-17,1,67
2023-07-24,0,67
2023-07-31,0,67
2023-08-07,1,68
2023-08-14,1,69
2023-08-21,1,70
2023-08-28,1,71
2023-09-04,0,71
2023-09-11,0,71
2023-09-18,1,72
2023-09-25,0,72
2023-10-02,0,72
2023-10-09,0,72
2023-10-16,1,73
2023-10-23,0,73
2023-10-30,0,73
2023-11-06,0,73
2023-11-13,0,73
2023-11-20,1,74
2023-11-27,1,75
2023-12-04,0,75
2023-12-11,0,75
2023-12-18,1,76
2023-12-25,0,76
2024-01-01,0,76
2024-01-08,0,76
2024-01-15,0,76
2024-01-22,0,76
2024-01-29,1,77
2024-02-05,0,77
2024-02-12,0,77
2024-02-19,0,77
2024-02-26,0,77
2024-03-04,0,77
2024-03-11,0,77
2024-03-18,0,77
2024-03-25,0,77
2024-04-01,1,78
2024-04-08,0,78
2024-04-15,0,78
2024-04-22,0,78
2024-04-29,1,79
2024-05-06,1,80
2024-05-13,0,80
2024-05-20,1,81
2024-05-27,0,81
2024-06-03,0,81
2024-06-10,0,81
2024-06-17,1,82
2024-06-24,0,82
2024-07-01,0,82
2024-07-08,0,82
2024-07-15,0,82
2024-07-22,1,83
2024-07-29,0,83
2024-08-05,0,83
2024-08-12,0,83
2024-08-19,0,83
2024-08-26,0,83
2024-09-02,1,84
