Tgl. Mohon,count,cumulative_sum
2021-01-05,1,1
2021-01-06,1,2
2021-01-07,2,4
2021-01-09,1,5
2021-01-11,1,6
2021-01-12,1,7
2021-01-13,2,9
2021-01-14,1,10
2021-01-15,1,11
2021-01-16,1,12
2021-01-18,1,13
2021-01-19,2,15
2021-01-20,2,17
2021-01-21,2,19
2021-01-22,1,20
2021-01-25,1,21
2021-01-26,1,22
2021-01-27,1,23
2021-01-28,3,26
2021-01-30,2,28
2021-01-31,1,29
2021-02-01,1,30
2021-02-03,1,31
2021-02-06,2,33
2021-02-08,1,34
2021-02-09,1,35
2021-02-11,2,37
2021-02-13,3,40
2021-02-16,1,41
2021-02-17,1,42
2021-02-18,1,43
2021-02-19,1,44
2021-02-22,1,45
2021-02-24,2,47
2021-02-25,1,48
2021-02-26,1,49
2021-02-28,1,50
2021-03-02,1,51
2021-03-03,2,53
2021-03-05,2,55
2021-03-08,1,56
2021-03-10,1,57
2021-03-13,1,58
2021-03-15,1,59
2021-03-16,1,60
2021-03-17,1,61
2021-03-18,1,62
2021-03-20,1,63
2021-03-23,1,64
2021-03-29,1,65
2021-03-30,1,66
2021-03-31,2,68
2021-04-03,3,71
2021-04-08,2,73
2021-04-09,1,74
2021-04-10,2,76
2021-04-12,1,77
2021-04-14,1,78
2021-04-15,1,79
2021-04-20,2,81
2021-04-21,2,83
2021-04-24,3,86
2021-04-26,1,87
2021-04-29,1,88
2021-04-30,2,90
2021-05-05,3,93
2021-05-06,1,94
2021-05-08,2,96
2021-05-11,4,100
2021-05-15,1,101
2021-05-25,1,102
2021-05-27,2,104
2021-05-28,1,105
2021-05-29,1,106
2021-05-31,1,107
2021-06-03,3,110
2021-06-04,1,111
2021-06-05,1,112
2021-06-09,1,113
2021-06-12,1,114
2021-06-14,1,115
2021-06-15,1,116
2021-06-16,2,118
2021-06-18,1,119
2021-06-21,2,121
2021-06-22,1,122
2021-06-23,2,124
2021-06-25,1,125
2021-06-26,1,126
2021-06-28,1,127
2021-06-30,2,129
2021-07-01,1,130
2021-07-03,1,131
2021-07-05,1,132
2021-07-07,3,135
2021-07-08,1,136
2021-07-12,1,137
2021-07-17,1,138
2021-07-24,3,141
2021-07-26,1,142
2021-07-27,1,143
2021-07-31,1,144
2021-08-03,2,146
2021-08-04,1,147
2021-08-05,2,149
2021-08-06,2,151
2021-08-07,1,152
2021-08-09,1,153
2021-08-10,2,155
2021-08-12,1,156
2021-08-13,1,157
2021-08-14,1,158
2021-08-18,1,159
2021-08-19,1,160
2021-08-20,1,161
2021-08-21,1,162
2021-08-23,1,163
2021-08-25,1,164
2021-08-30,2,166
2021-08-31,2,168
2021-09-01,2,170
2021-09-02,2,172
2021-09-03,1,173
2021-09-04,3,176
2021-09-06,1,177
2021-09-07,1,178
2021-09-10,1,179
2021-09-11,2,181
2021-09-14,1,182
2021-09-17,2,184
2021-09-18,2,186
2021-09-20,1,187
2021-09-21,2,189
2021-09-22,1,190
2021-09-27,2,192
2021-09-28,2,194
2021-09-29,1,195
2021-09-30,1,196
2021-10-01,2,198
2021-10-04,1,199
2021-10-05,1,200
2021-10-06,1,201
2021-10-08,1,202
2021-10-09,4,206
2021-10-11,3,209
2021-10-12,2,211
2021-10-14,2,213
2021-10-15,1,214
2021-10-21,2,216
2021-10-25,2,218
2021-10-26,1,219
2021-10-27,1,220
2021-10-28,1,221
2021-10-30,1,222
2021-11-01,2,224
2021-11-02,1,225
2021-11-03,3,228
2021-11-05,1,229
2021-11-08,1,230
2021-11-09,1,231
2021-11-10,2,233
2021-11-12,2,235
2021-11-15,1,236
2021-11-16,2,238
2021-11-20,1,239
2021-11-22,1,240
2021-11-23,1,241
2021-11-25,2,243
2021-11-26,1,244
2021-11-29,1,245
2021-12-01,1,246
2021-12-03,1,247
2021-12-04,1,248
2021-12-06,2,250
2021-12-07,2,252
2021-12-09,3,255
2021-12-10,1,256
2021-12-11,3,259
2021-12-15,2,261
2021-12-17,4,265
2021-12-20,3,268
2021-12-21,1,269
2021-12-23,1,270
2021-12-27,1,271
2021-12-28,1,272
2021-12-29,2,274
2021-12-30,1,275
2022-01-03,4,279
2022-01-05,2,281
2022-01-06,2,283
2022-01-07,1,284
2022-01-08,7,291
2022-01-10,4,295
2022-01-11,1,296
2022-01-12,3,299
2022-01-13,1,300
2022-01-14,1,301
2022-01-17,2,303
2022-01-18,2,305
2022-01-20,2,307
2022-01-22,3,310
2022-01-24,1,311
2022-01-25,1,312
2022-01-27,2,314
2022-01-31,2,316
2022-02-03,1,317
2022-02-04,2,319
2022-02-07,4,323
2022-02-08,2,325
2022-02-09,1,326
2022-03-08,2,328
2022-03-09,5,333
2022-03-10,1,334
2022-03-11,1,335
2022-03-14,1,336
2022-03-15,1,337
2022-03-16,1,338
2022-03-19,1,339
2022-03-22,1,340
2022-03-24,3,343
2022-03-28,1,344
2022-03-30,1,345
2022-03-31,3,348
2022-04-06,1,349
2022-04-08,1,350
2022-04-16,1,351
2022-04-18,1,352
2022-04-20,1,353
2022-04-21,3,356
2022-04-22,4,360
2022-04-25,2,362
2022-04-26,3,365
2022-04-27,1,366
2022-04-28,1,367
2022-04-30,5,372
2022-05-13,1,373
2022-05-14,4,377
2022-05-17,1,378
2022-05-24,1,379
2022-05-25,1,380
2022-05-28,1,381
2022-05-31,1,382
2022-06-03,1,383
2022-06-04,1,384
2022-06-06,1,385
2022-06-09,2,387
2022-06-14,1,388
2022-06-17,1,389
2022-06-18,1,390
2022-06-30,2,392
2022-07-06,2,394
2022-07-07,1,395
2022-07-13,1,396
2022-07-14,1,397
2022-07-16,1,398
2022-07-18,1,399
2022-07-19,1,400
2022-07-20,1,401
2022-07-27,1,402
2022-07-28,1,403
2022-07-31,2,405
2022-08-04,3,408
2022-08-06,1,409
2022-08-08,1,410
2022-08-11,1,411
2022-08-12,2,413
2022-08-16,1,414
2022-09-14,1,415
2022-09-19,1,416
2022-09-20,1,417
2022-09-21,1,418
2022-09-22,1,419
2022-09-25,1,420
2022-09-27,1,421
2022-10-01,1,422
2022-10-30,1,423
2023-01-02,1,424
2023-01-10,1,425
2023-01-13,1,426
2023-03-13,1,427
2023-03-20,1,428
2023-03-21,1,429
2023-03-28,1,430
2023-04-04,1,431
2023-05-24,1,432
2023-06-06,1,433
2023-06-08,1,434
2023-07-13,1,435
2023-08-04,1,436
2023-08-22,1,437
2023-10-10,1,438
2023-11-22,1,439
2023-11-27,1,440
2024-01-20,1,441
2024-03-31,1,442
2024-04-06,1,443
2024-06-06,1,444
2024-06-10,1,445
2024-07-08,1,446
2024-08-05,1,447
